4 1
6 1,98765432098765
9 2,95121951219512
13 3,88855421686747
18 4,80774962742176
24 5,71840354767184
31 6,62747979426892
39 7,53878521770948
48 8,45379071252623
58 9,37260348831914
69 10,2946956600855
81 11,2193466993999
94 12,1458687192888
108 13,0736960775126
123 14,0024020783941
139 14,9316829040817
156 15,8613311435175
174 16,791209709572
193 17,721230305181
213 18,6513372502658
234 19,5814960499382
256 20,5116856539509
279 21,4418933826622
303 22,3721116847153
328 23,3023361076642
354 24,2325640494706
381 25,1627940015258
